Crdc.0.Ped.155:	92.59
Crdc.0.Ped.156:	75.87
Crdc.0.Ped.157:	86.73
Crdc.0.Ped.158:	81.75
Crdc.0.Ped.159:	62.24
Crdc.0.Ped.160:	102.61
Crdc.0.Ped.161:	89.75
Crdc.0.Ped.162:	94.36
Crdc.0.Ped.163:	123.88
Crdc.0.Ped.164:	94.31
Crdc.0.Ped.165:	105.41
Crdc.0.Ped.166:	107.21
Crdc.0.Ped.167:	70.69
Crdc.0.Ped.168:	103.62
Crdc.0.Ped.169:	85.98
Crdc.0.Ped.170:	98.79
Crdc.0.Ped.171:	84.54
Crdc.0.Ped.172:	108.52
Crdc.0.Ped.173:	91.93
Crdc.0.Ped.174:	97.77
Crdc.0.Ped.175:	108.89
Crdc.0.Ped.176:	92.97
Crdc.0.Ped.177:	91.70
Crdc.0.Ped.178:	93.94
Crdc.0.Ped.179:	103.90
Crdc.0.Ped.180:	90.47
Crdc.0.Ped.181:	84.10
Crdc.0.Ped.182:	93.20
Crdc.0.Ped.183:	93.23
Crdc.0.Ped.184:	112.60
Crdc.0.Ped.185:	115.04
Crdc.0.Ped.186:	214.00
Crdc.0.Ped.187:	88.58
Crdc.0.Ped.188:	94.75
Crdc.0.Ped.189:	97.12
Crdc.0.Ped.190:	107.71
Crdc.0.Ped.191:	90.83
Crdc.0.Ped.192:	56.92
Crdc.0.Ped.193:	53.11
Crdc.0.Ped.194:	41.04
Crdc.0.Ped.195:	56.85
Crdc.0.Ped.196:	40.08
Crdc.0.Ped.197:	55.79
Crdc.0.Ped.198:	36.15
Crdc.0.Ped.199:	32.65
Crdc.0.Ped.200:	49.64
Crdc.0.Ped.201:	33.34
Crdc.0.Ped.202:	51.58
Crdc.0.Ped.203:	76.26
Crdc.0.Ped.204:	55.33
Crdc.0.Ped.205:	48.10
Crdc.0.Ped.206:	48.05
Crdc.0.Ped.207:	72.21
Crdc.0.Ped.208:	72.28
Crdc.0.Ped.209:	76.47
Crdc.0.Ped.210:	76.96
Crdc.0.Ped.211:	78.37
Crdc.0.Ped.212:	78.69
Crdc.0.Ped.213:	79.37
Crdc.0.Ped.214:	76.37
Crdc.0.Ped.215:	44.54
Crdc.0.Ped.216:	37.89
